treatment,hive,tray,dish,number_bees,has_10HDA,has_HVA,has_HOB,has_9HDA,has_9ODA,n_touches,touch_duration
Solvent control,Skylab,1,1_12,5,0,0,0,0,0,176,222
Solvent control,Skylab,2,2_12,5,0,0,0,0,0,46,298
Solvent control,Skylab,3,3_12,5,0,0,0,0,0,79,117
Solvent control,Zoology,4,4_9,5,0,0,0,0,0,48,32
Solvent control,Zoology,5,5_2,5,0,0,0,0,0,45,25
Solvent control,Zoology,6,6_1,5,0,0,0,0,0,87,150
Solvent control,Zoology,7,7_7,5,0,0,0,0,0,39,114
Solvent control,Zoology,8,8_12,5,0,0,0,0,0,91,146
Solvent control,Zoology,9,9_9,5,0,0,0,0,0,53,29
Solvent control,Skylab,10,10_12,5,0,0,0,0,0,38,49
Solvent control,Zoology,11,11_9,5,0,0,0,0,0,49,78
Solvent control,Skylab,12,12_1,5,0,0,0,0,0,31,68
Solvent control,Skylab,13,13_12,5,0,0,0,0,0,31,460
Solvent control,Zoology,14,14_5,5,0,0,0,0,0,51,143
Solvent control,Skylab,15,15_2,5,0,0,0,0,0,31,227
Solvent control,Skylab,16,16_8,4,0,0,0,0,0,24,51
Solvent control,Skylab,17,17_4,5,0,0,0,0,0,49,53
Solvent control,Zoology,18,18_1,5,0,0,0,0,0,18,56
Solvent control,Zoology,19,19_7,5,0,0,0,0,0,53,94
Solvent control,Garden,20,20_2,5,0,0,0,0,0,33,95
Solvent control,Garden,21,21_12,5,0,0,0,0,0,24,37
Solvent control,Garden,22,22_2,5,0,0,0,0,0,16,45
Solvent control,Zoology,23,23_7,5,0,0,0,0,0,8,6
Solvent control,Garden,24,24_11,5,0,0,0,0,0,51,158
Solvent control,Garden,25,25_7,5,0,0,0,0,0,32,38
Solvent control,Garden,26,26_12,4,0,0,0,0,0,51,198
Solvent control,Zoology,27,27_12,5,0,0,0,0,0,35,64
Solvent control,Garden,28,28_2,4,0,0,0,0,0,11,9
Solvent control,Garden,29,29_4,5,0,0,0,0,0,40,36
Solvent control,Garden,30,30_6,5,0,0,0,0,0,19,53
Solvent control,Garden,31,31_12,5,0,0,0,0,0,27,38
Solvent control,Zoology,32,32_6,5,0,0,0,0,0,61,71
Solvent control,Garden,33,33_2,5,0,0,0,0,0,31,86
Solvent control,Garden,34,34_8,5,0,0,0,0,0,16,1
Solvent control,Garden,35,35_10,5,0,0,0,0,0,35,65
10-HDA (worker control),Skylab,1,1_11,5,1,0,0,0,0,70,99
10-HDA (worker control),Skylab,2,2_11,5,1,0,0,0,0,63,68
10-HDA (worker control),Skylab,3,3_11,5,1,0,0,0,0,35,69
10-HDA (worker control),Zoology,4,4_10,5,1,0,0,0,0,55,114
10-HDA (worker control),Zoology,5,5_6,5,1,0,0,0,0,81,377
10-HDA (worker control),Zoology,6,6_2,5,1,0,0,0,0,78,115
10-HDA (worker control),Zoology,7,7_8,5,1,0,0,0,0,64,71
10-HDA (worker control),Zoology,8,8_8,5,1,0,0,0,0,100,163
10-HDA (worker control),Zoology,9,9_5,5,1,0,0,0,0,65,70
10-HDA (worker control),Skylab,10,10_11,5,1,0,0,0,0,68,187
10-HDA (worker control),Zoology,11,11_10,5,1,0,0,0,0,45,136
10-HDA (worker control),Skylab,12,12_2,5,1,0,0,0,0,66,224
10-HDA (worker control),Skylab,13,13_8,5,1,0,0,0,0,22,107
10-HDA (worker control),Zoology,14,14_6,5,1,0,0,0,0,34,39
10-HDA (worker control),Skylab,15,15_3,5,1,0,0,0,0,58,79
10-HDA (worker control),Skylab,16,16_7,4,1,0,0,0,0,42,59
10-HDA (worker control),Skylab,17,17_9,5,1,0,0,0,0,54,52
10-HDA (worker control),Zoology,18,18_6,5,1,0,0,0,0,38,91
10-HDA (worker control),Zoology,19,19_6,5,1,0,0,0,0,107,222
10-HDA (worker control),Garden,20,20_1,5,1,0,0,0,0,26,11
10-HDA (worker control),Garden,21,21_11,5,1,0,0,0,0,39,17
10-HDA (worker control),Garden,22,22_1,5,1,0,0,0,0,4,2
10-HDA (worker control),Zoology,23,23_9,5,1,0,0,0,0,5,9
10-HDA (worker control),Garden,24,24_10,5,1,0,0,0,0,59,605
10-HDA (worker control),Garden,25,25_9,5,1,0,0,0,0,54,55
10-HDA (worker control),Garden,26,26_11,4,1,0,0,0,0,31,101
10-HDA (worker control),Garden,28,28_6,4,1,0,0,0,0,59,467
10-HDA (worker control),Garden,29,29_3,5,1,0,0,0,0,22,54
