tray,dish,number_bees,number_active_bees,
35,1,5,5,"One bee dosn't move much - it does move at 10:29 though, so it is alive"
35,2,5,5,All bees fairly inactive until abou the 13 minute mark - all do move about and show signs of life
35,3,5,5,All bees fairly inactive until about 20 minute mark - all do move and show signs of life
35,4,5,5,Four bees remain fairly inactive (bascially montionless) for the whole video - one does circles around the outside for most of the video - all move at some point
35,5,5,5,Four frisky bees through out the video - one a little lack lustre (doesn't move much) but all move at some point and so are alive
35,6,5,5,All five bees are pretty active - although one only moves around tentatively until about the 21 minute mark - then it begins to zoom around
35,7,5,5,all five move about
35,8,5,5,all five move about - one seems a little lethargic
35,9,5,5,All five move - one seems a little lethargic
35,10,5,5,Every bee moves - two don't move very much
35,11,5,5,all five move about a fair bit - four are lethargic in the beginning
35,12,5,5,Every bee does moves but all five don't move a lot - staying confined to one section
34,1,5,5,All bees are quite active - all a little lethargic at the start but they get moving fairly fast
34,2,5,5,"All bees move, one remains stationary for pretty much the whole time"
34,3,5,5,"All bees move, one remains stationary for quite a while"
34,4,5,5,"All bees do move, one is a lazy one that kind of doesn't move much - always one!"
34,5,5,5,"all bees move, only two are particularly active"
34,6,5,5,"All move, only two are super active"
34,7,5,5,all are very active
34,8,5,5,all active
34,9,5,5,all active
34,10,5,5,"two particularly active, three not so active"
34,11,5,5,"all bees move, one is almost completely stationary the whole time"
34,12,5,5,all bees can move - all bees remain almost motionless the whole time
33,1,5,5,
33,2,5,5,
33,3,5,5,
33,4,5,5,
33,5,5,5,
33,6,5,5,
33,7,5,5,
33,8,5,5,
33,9,5,5,
33,10,5,5,
33,11,5,5,not active until last 5 mins
33,12,5,5,
32,1,5,5,
32,2,5,5,
32,3,5,5,
32,4,5,5,
32,5,5,5,
32,6,5,5,
32,7,5,5,
32,8,5,5,
32,9,5,5,
32,10,5,5,
32,11,5,5,
32,12,5,5,
31,1,5,5,
31,2,5,5,
31,3,5,5,
31,4,5,5,
31,5,5,5,
31,6,5,5,
31,7,5,5,
31,8,5,5,
31,9,5,5,
31,10,5,5,
31,11,5,5,
31,12,5,5,
30,1,5,5,
30,2,5,5,
30,3,5,5,
30,4,5,5,
30,5,5,5,
30,6,5,5,
30,7,5,5,
30,8,5,5,
30,9,5,5,
30,10,5,5,
30,11,5,5,
30,12,5,5,
29,1,5,5,
29,2,5,5,
29,3,5,5,
29,4,5,5,
29,5,5,5,
29,6,5,5,
29,7,5,5,
29,8,5,5,
29,9,5,5,
29,10,5,5,
29,11,5,5,
29,12,5,5,
28,1,4,4,
28,2,4,4,
28,3,4,4,
28,4,4,4,
28,5,4,4,
28,6,4,4,
28,7,4,4,
28,8,4,4,
28,9,4,4,
28,10,4,4,
28,11,4,4,
28,12,4,4,
27,1,5,5,
27,2,5,5,
27,3,5,5,
27,4,5,5,
27,5,5,5,
27,6,5,5,
27,7,5,5,
27,8,5,5,
27,9,5,5,
27,10,5,5,
27,11,5,5,
27,12,5,5,
26,1,4,4,
26,2,4,4,
26,3,4,4,
26,4,4,4,
26,5,4,4,
26,6,4,4,
26,7,4,4,
26,8,4,4,
26,9,4,4,
26,10,4,4,
26,11,4,4,
26,12,4,4,
25,1,5,5,
25,2,5,5,
25,3,5,5,
25,4,5,5,
25,5,5,5,
25,6,5,5,
25,7,5,5,
25,8,5,5,
25,9,5,5,
25,10,5,5,
25,11,5,5,
25,12,5,5,
24,1,5,5,
24,2,5,5,
24,3,5,5,
24,4,5,5,
24,5,5,5,
24,6,5,5,
24,7,5,5,
24,8,5,5,
24,9,5,5,
24,10,5,5,
24,11,5,5,
24,12,5,5,
23,1,5,5,four bees sit still for most of the video
23,2,5,5,
23,3,5,5,
23,4,5,5,
23,5,5,5,
23,6,5,5,two are not particularly active
23,7,5,5,all bees move at some point but are mostly still - around 6:38 they stop moving
23,8,5,5,
23,9,5,5,"all bees move at at some point but at no point in the video are they zooming around, jusst staying mostly still"
23,10,5,5,
23,11,5,5,
23,12,5,5,all move at some point but they aren't that active at all
22,1,5,5,
22,2,5,5,
22,3,5,5,
22,4,5,5,
22,5,5,5,
22,6,5,5,
22,7,5,5,
22,8,5,5,
22,9,5,5,
22,10,5,5,
22,11,5,5,
22,12,5,5,
21,1,5,5,
21,2,5,5,
21,3,5,5,
21,4,5,5,
21,5,5,5,
21,6,5,5,
21,7,5,5,
21,8,5,5,
21,9,5,5,
21,10,5,5,
21,11,5,5,
21,12,5,5,
20,1,5,5,
