hive,treatment,tray,dish,number_bees,start_touch,end_touch,touch_duration,notes
Garden,Solvent control,20,2,5,65,69,4,
Garden,Solvent control,20,2,5,118,119,1,
Garden,Solvent control,20,2,5,167,167,0,"bee sort of pushed in to paper, not sure if it counts"
Garden,Solvent control,20,2,5,219,220,1,
Garden,Solvent control,20,2,5,287,293,6,
Garden,Solvent control,20,2,5,309,310,1,
Garden,Solvent control,20,2,5,516,516,0,
Garden,Solvent control,20,2,5,532,532,0,
Garden,Solvent control,20,2,5,549,558,9,
Garden,Solvent control,20,2,5,625,627,2,
Garden,Solvent control,20,2,5,643,643,0,
Garden,Solvent control,20,2,5,676,678,2,
Garden,Solvent control,20,2,5,701,701,0,
Garden,Solvent control,20,2,5,840,842,2,
Garden,Solvent control,20,2,5,906,907,1,
Garden,Solvent control,20,2,5,910,911,1,
Garden,Solvent control,20,2,5,1027,1028,1,bee sort of walks over the paper
Garden,Solvent control,20,2,5,1082,1083,1,
Garden,Solvent control,20,2,5,1154,1154,0,
Garden,Solvent control,20,2,5,1169,1169,0,
Garden,Solvent control,20,2,5,1182,1194,12,
Garden,Solvent control,20,2,5,1137,1148,11,bee sitting on top of paper
Garden,Solvent control,20,2,5,1217,1218,1,
Garden,Solvent control,20,2,5,1241,1241,0,
Garden,Solvent control,20,2,5,1407,1407,0,
Garden,Solvent control,20,2,5,1490,1491,1,
Garden,Solvent control,20,2,5,1591,1601,10,bee sits on paper for most of this time
Garden,Solvent control,20,2,5,1607,1616,9,
Garden,Solvent control,20,2,5,1618,1619,1,
Garden,Solvent control,20,2,5,1660,1661,1,
Garden,Solvent control,20,2,5,1666,1678,12,
Garden,Solvent control,20,2,5,1679,1681,2,
Garden,Solvent control,20,2,5,1755,1758,3,
Garden,Solvent control,21,12,5,23,23,0,
Garden,Solvent control,21,12,5,57,58,1,
Garden,Solvent control,21,12,5,69,70,1,
Garden,Solvent control,21,12,5,110,112,2,
Garden,Solvent control,21,12,5,149,151,2,
Garden,Solvent control,21,12,5,167,168,1,
Garden,Solvent control,21,12,5,286,292,6,
Garden,Solvent control,21,12,5,292,292,0,
Garden,Solvent control,21,12,5,295,298,3,
Garden,Solvent control,21,12,5,324,327,3,"bee sits at a distance facing paper, sort of seems interrested, not sure if it counts"
Garden,Solvent control,21,12,5,340,341,1,
Garden,Solvent control,21,12,5,380,380,0,
Garden,Solvent control,21,12,5,617,617,0,
Garden,Solvent control,21,12,5,755,755,0,
Garden,Solvent control,21,12,5,756,758,2,
Garden,Solvent control,21,12,5,873,881,8,
Garden,Solvent control,21,12,5,952,954,2,
Garden,Solvent control,21,12,5,1054,1054,0,
Garden,Solvent control,21,12,5,1078,1079,1,
Garden,Solvent control,21,12,5,1214,1214,0,
Garden,Solvent control,21,12,5,1402,1405,3,
Garden,Solvent control,21,12,5,1525,1525,0,
Garden,Solvent control,21,12,5,1545,1546,1,
Garden,Solvent control,21,12,5,1657,1657,0,
Garden,Solvent control,22,2,5,0,22,22,bee sitting on top of paper
Garden,Solvent control,22,2,5,19,19,0,
Garden,Solvent control,22,2,5,132,135,3,
Garden,Solvent control,22,2,5,142,143,1,
Garden,Solvent control,22,2,5,200,201,1,
Garden,Solvent control,22,2,5,233,234,1,
Garden,Solvent control,22,2,5,317,317,0,
Garden,Solvent control,22,2,5,408,408,0,
Garden,Solvent control,22,2,5,597,600,3,
Garden,Solvent control,22,2,5,676,678,2,
Garden,Solvent control,22,2,5,903,903,0,
Garden,Solvent control,22,2,5,969,971,2,
Garden,Solvent control,22,2,5,978,979,1,
Garden,Solvent control,22,2,5,1295,1297,2,bee not touching but seems interrested
Garden,Solvent control,22,2,5,1665,1672,7,
Garden,Solvent control,22,2,5,1766,1766,0,
Garden,Solvent control,24,11,5,6,7,1,
Garden,Solvent control,24,11,5,15,15,0,
Garden,Solvent control,24,11,5,19,22,3,
Garden,Solvent control,24,11,5,28,28,0,
Garden,Solvent control,24,11,5,40,41,1,
Garden,Solvent control,24,11,5,72,72,0,
Garden,Solvent control,24,11,5,90,90,0,
Garden,Solvent control,24,11,5,101,101,0,
Garden,Solvent control,24,11,5,120,120,0,
Garden,Solvent control,24,11,5,123,125,2,
Garden,Solvent control,24,11,5,166,166,0,
Garden,Solvent control,24,11,5,168,170,2,
Garden,Solvent control,24,11,5,181,181,0,
Garden,Solvent control,24,11,5,207,207,0,
Garden,Solvent control,24,11,5,214,228,14,
Garden,Solvent control,24,11,5,356,356,0,
Garden,Solvent control,24,11,5,370,426,56,
Garden,Solvent control,24,11,5,441,480,39,
Garden,Solvent control,24,11,5,486,486,0,
Garden,Solvent control,24,11,5,497,499,2,
Garden,Solvent control,24,11,5,499,499,0,
Garden,Solvent control,24,11,5,522,522,0,
Garden,Solvent control,24,11,5,542,543,1,
Garden,Solvent control,24,11,5,606,606,0,
Garden,Solvent control,24,11,5,664,665,1,
Garden,Solvent control,24,11,5,693,695,2,
Garden,Solvent control,24,11,5,695,695,0,
Garden,Solvent control,24,11,5,787,787,0,
Garden,Solvent control,24,11,5,865,865,0,
Garden,Solvent control,24,11,5,893,895,2,
Garden,Solvent control,24,11,5,908,910,2,
Garden,Solvent control,24,11,5,933,936,3,
Garden,Solvent control,24,11,5,980,980,0,
Garden,Solvent control,24,11,5,1009,1009,0,
Garden,Solvent control,24,11,5,1019,1019,0,
Garden,Solvent control,24,11,5,1071,1072,1,
Garden,Solvent control,24,11,5,1246,1246,0,
Garden,Solvent control,24,11,5,1254,1254,0,
Garden,Solvent control,24,11,5,1261,1262,1,
Garden,Solvent control,24,11,5,1274,1280,6,
Garden,Solvent control,24,11,5,1296,1298,2,
Garden,Solvent control,24,11,5,1329,1329,0,
Garden,Solvent control,24,11,5,1393,1393,0,
Garden,Solvent control,24,11,5,1470,1471,1,
Garden,Solvent control,24,11,5,1506,1506,0,
Garden,Solvent control,24,11,5,1541,1543,2,
Garden,Solvent control,24,11,5,1545,1555,10,
Garden,Solvent control,24,11,5,1597,1599,2,
Garden,Solvent control,24,11,5,1680,1680,0,
Garden,Solvent control,24,11,5,1739,1741,2,
Garden,Solvent control,24,11,5,1789,1789,0,
Garden,Solvent control,25,7,5,67,68,1,
Garden,Solvent control,25,7,5,325,328,3,
Garden,Solvent control,25,7,5,346,351,5,
Garden,Solvent control,25,7,5,389,393,4,
Garden,Solvent control,25,7,5,531,537,6,bee sort of far away from paper but sniffing it I think
Garden,Solvent control,25,7,5,657,657,0,
Garden,Solvent control,25,7,5,658,658,0,
Garden,Solvent control,25,7,5,689,692,3,bee sort of far away from paper but sniffing it I think
Garden,Solvent control,25,7,5,724,725,1,
Garden,Solvent control,25,7,5,777,778,1,
Garden,Solvent control,25,7,5,848,849,1,
Garden,Solvent control,25,7,5,876,877,1,
Garden,Solvent control,25,7,5,907,907,0,
Garden,Solvent control,25,7,5,1048,1048,0,
Garden,Solvent control,25,7,5,1165,1165,0,
Garden,Solvent control,25,7,5,1289,1291,2,
Garden,Solvent control,25,7,5,1446,1446,0,
Garden,Solvent control,25,7,5,1458,1460,2,
Garden,Solvent control,25,7,5,1522,1522,0,
Garden,Solvent control,25,7,5,1560,1561,1,
Garden,Solvent control,25,7,5,1574,1574,0,
Garden,Solvent control,25,7,5,1597,1597,0,
Garden,Solvent control,25,7,5,1639,1639,0,
Garden,Solvent control,25,7,5,1643,1644,1,
Garden,Solvent control,25,7,5,1660,1660,0,
Garden,Solvent control,25,7,5,1692,1692,0,
Garden,Solvent control,25,7,5,1712,1712,0,
Garden,Solvent control,25,7,5,1742,1746,4,
Garden,Solvent control,25,7,5,1750,1750,0,
Garden,Solvent control,25,7,5,1753,1754,1,
Garden,Solvent control,25,7,5,1755,1756,1,
Garden,Solvent control,25,7,5,1763,1763,0,
Garden,Solvent control,26,12,4,13,27,14,
Garden,Solvent control,26,12,4,40,43,3,
Garden,Solvent control,26,12,4,46,62,16,from 0:52 to 1:02 the bee sort of just sits on the paper - it does move around bit it is not sniffing
Garden,Solvent control,26,12,4,57,70,13,
Garden,Solvent control,26,12,4,79,86,7,moves around on top of paper
Garden,Solvent control,26,12,4,89,116,27,sniffs and them moves around on paper or really close next to it
Garden,Solvent control,26,12,4,111,121,10,
Garden,Solvent control,26,12,4,144,146,2,
Garden,Solvent control,26,12,4,167,169,2,
Garden,Solvent control,26,12,4,224,235,11,
Garden,Solvent control,26,12,4,225,226,1,
Garden,Solvent control,26,12,4,238,244,6,
Garden,Solvent control,26,12,4,240,251,11,
Garden,Solvent control,26,12,4,256,260,4,
Garden,Solvent control,26,12,4,271,281,10,
Garden,Solvent control,26,12,4,408,409,1,
Garden,Solvent control,26,12,4,450,458,8,
Garden,Solvent control,26,12,4,455,459,4,
